team,year,talent,scaled_talent
Alabama,2015,981.9,2.398255401079829
USC,2015,926.71,2.20010142508937
Ohio State,2015,907.32,2.130483639359074
Florida State,2015,889.92,2.0680107424169827
LSU,2015,889.37,2.0660360244101925
Georgia,2015,877.74,2.0242797145575193
Auburn,2015,865.41,1.980010127241658
Notre Dame,2015,857.33,1.9509997245237216
Michigan,2015,851.12,1.928703363028872
Texas A&M,2015,830.34,1.854094926335961
Texas,2015,821.26,1.8214941272420422
Tennessee,2015,810.53,1.7829691741277527
Clemson,2015,807.56,1.7723056968910855
UCLA,2015,793.22,1.7208194128595005
Florida,2015,789.79,1.7085043532898812
Oklahoma,2015,775.9,1.6586337476274877
Miami,2015,773.23,1.6490473893036153
Stanford,2015,765.98,1.6230170155777441
Ole Miss,2015,764.34,1.6171287655211333
Oregon,2015,757.52,1.5926422622369343
Penn State,2015,732.36,1.502307889417221
South Carolina,2015,725.72,1.4784676574806992
Michigan State,2015,715.3,1.4410557272429638
Nebraska,2015,699.89,1.3857277190890778
Arkansas,2015,695.04,1.3683142966655637
North Carolina,2015,683.03,1.325193636190017
Arizona State,2015,680.87,1.3174383800178955
Mississippi State,2015,680.06,1.3145301589533498
Washington,2015,667.45,1.269255260652214
Virginia,2015,667.05,1.2678191021018208
Baylor,2015,660.35,1.24376344638274
Virginia Tech,2015,658.38,1.236690365522055
Oklahoma State,2015,651.83,1.2131732692593713
Missouri,2015,642.93,1.181218741513129
Texas Tech,2015,641.07,1.1745406042538025
Louisville,2015,641.05,1.1744687963262825
Wisconsin,2015,635.77,1.1555115034610963
Kentucky,2015,634.52,1.1510235079911186
TCU,2015,630.38,1.1361592669945522
California,2015,626,1.1204333308677499
West Virginia,2015,625.85,1.1198947714113527
Pittsburgh,2015,611.18,1.067223656575693
NC State,2015,610.33,1.0641718196561083
Vanderbilt,2015,609.76,1.0621252937217982
Arizona,2015,606.92,1.0519285680140087
Maryland,2015,603.76,1.0405829154659048
Rutgers,2015,602.35,1.03552045657577
Northwestern,2015,595.75,1.0118238404942872
Georgia Tech,2015,590.34,0.9923997961002233
Utah,2015,574.41,0.935204781830826
Iowa,2015,573.06,0.9303577467232499
Boise State,2015,568.96,0.9156371215817231
Duke,2015,563.19,0.8949205344923056
Indiana,2015,559.08,0.8801640053870186
Oregon State,2015,544.66,0.8283904896453543
Colorado,2015,542.06,0.8190554590678004
Washington State,2015,540.86,0.814746983416622
Boston College,2015,534.6,0.7922711021029731
Purdue,2015,534.26,0.7910503673351391
Illinois,2015,530.96,0.7792020592943979
South Florida,2015,529.65,0.774498640041861
Iowa State,2015,529.12,0.7725957299625904
BYU,2015,521.43,0.7449855818312868
Minnesota,2015,516.1,0.7258487691473017
Houston,2015,511.45,0.7091534259989842
Syracuse,2015,508.8,0.6996388756026314
Kansas State,2015,503.64,0.6811124303025629
Kansas,2015,499.97,0.6679356756027082
Wake Forest,2015,497.48,0.6589955886265124
San Diego State,2015,494.77,0.6492656144476003
Cincinnati,2015,494.65,0.6488347668824825
Marshall,2015,489.77,0.6313136325676891
UCF,2015,484.54,0.6125358595213022
